candidate_set,model,diagnostic,targets,macro_P_vs_U,MAP
context,tuna_original,actual_query,12,0.7286805555555556,0.2527856605006587
context,tuna_original,mean_of_11_replacement_queries,12,0.5355218855218856,0.05801714025666349
context,tuna_original,replacement_query_rank_consensus,12,0.5697916666666667,0.057774350381905086
context,tuna_retrained,actual_query,12,0.7220717592592593,0.16574592817616338
context,tuna_retrained,mean_of_11_replacement_queries,12,0.5036752946127946,0.03836619265253665
context,tuna_retrained,replacement_query_rank_consensus,12,0.5173148148148149,0.033572839125176036
context,no_fitted_model,partner_training_seen,12,0.5592361111111112,0.03420159979236315
context,no_fitted_model,partner_positive_degree,12,0.5821296296296297,0.1256182860349527
context,no_fitted_model,partner_positive_degree_fraction,12,0.46923032407407406,0.029339735301207457
context,tuna_original,raw_logit,12,0.7282060185185185,0.2527324537666661
context,tuna_original,adjusted_logit,12,0.7286805555555556,0.2527856605006587
context,tuna_original,probability,12,0.7286805555555556,0.2527856605006587
background,tuna_original,actual_query,12,0.8065277777777778,0.2564991002591574
background,tuna_original,mean_of_11_replacement_queries,12,0.5264446548821549,0.05449726649637086
background,tuna_original,replacement_query_rank_consensus,12,0.5716493055555556,0.06150693673654397
background,tuna_retrained,actual_query,12,0.7710300925925927,0.17493568215856856
background,tuna_retrained,mean_of_11_replacement_queries,12,0.5105345117845118,0.04780288589565579
background,tuna_retrained,replacement_query_rank_consensus,12,0.5433564814814815,0.04225633137699916
background,no_fitted_model,partner_training_seen,12,0.5954166666666666,0.037286868993546614
background,no_fitted_model,partner_positive_degree,12,0.6207754629629629,0.1479836521503188
background,no_fitted_model,partner_positive_degree_fraction,12,0.4742361111111111,0.03356839893062822
background,tuna_original,raw_logit,12,0.8060532407407407,0.25609225401897784
background,tuna_original,adjusted_logit,12,0.8065277777777778,0.2564991002591574
background,tuna_original,probability,12,0.8065277777777778,0.2564991002591574
low_plausibility,tuna_original,actual_query,12,0.8774537037037038,0.4748231882259489
low_plausibility,tuna_original,mean_of_11_replacement_queries,12,0.5402251683501683,0.1590090685593776
low_plausibility,tuna_original,replacement_query_rank_consensus,12,0.57140625,0.055394516060284706
low_plausibility,tuna_retrained,actual_query,12,0.8478125,0.36879412910536463
low_plausibility,tuna_retrained,mean_of_11_replacement_queries,12,0.5441119528619529,0.10704934601973969
low_plausibility,tuna_retrained,replacement_query_rank_consensus,12,0.5798842592592592,0.04391233528496108
low_plausibility,no_fitted_model,partner_training_seen,12,0.61375,0.04957143955402469
low_plausibility,no_fitted_model,partner_positive_degree,12,0.6265046296296296,0.20349184251304878
low_plausibility,no_fitted_model,partner_positive_degree_fraction,12,0.45745370370370364,0.037730177317197446
low_plausibility,tuna_original,raw_logit,12,0.8767129629629631,0.4743078085439026
low_plausibility,tuna_original,adjusted_logit,12,0.8774537037037038,0.4748231882259489
low_plausibility,tuna_original,probability,12,0.8774537037037038,0.4748231882259489
context_background,tuna_original,actual_query,12,0.7676041666666666,0.1902909819813899
context_background,tuna_original,mean_of_11_replacement_queries,12,0.5309832702020201,0.027993795435816305
context_background,tuna_original,replacement_query_rank_consensus,12,0.5741030092592593,0.031256500359281486
context_background,tuna_retrained,actual_query,12,0.7465509259259259,0.11319923223053567
context_background,tuna_retrained,mean_of_11_replacement_queries,12,0.5071049031986532,0.021334551679775143
context_background,tuna_retrained,replacement_query_rank_consensus,12,0.5290798611111112,0.01935264961624383
context_background,no_fitted_model,partner_training_seen,12,0.577326388888889,0.018105985649449475
context_background,no_fitted_model,partner_positive_degree,12,0.6014525462962963,0.08357338035138202
context_background,no_fitted_model,partner_positive_degree_fraction,12,0.47173321759259257,0.01573244505709958
context_background,tuna_original,raw_logit,12,0.7671296296296296,0.1901073239524503
context_background,tuna_original,adjusted_logit,12,0.7676041666666666,0.1902909819813899
context_background,tuna_original,probability,12,0.7676041666666666,0.1902909819813899
all_U,tuna_original,actual_query,12,0.8042206790123457,0.18358856395766174
all_U,tuna_original,mean_of_11_replacement_queries,12,0.5340639029180695,0.023035855831454986
all_U,tuna_original,replacement_query_rank_consensus,12,0.5777546296296295,0.024417275459381552
all_U,tuna_retrained,actual_query,12,0.7803047839506173,0.10610512426829666
all_U,tuna_retrained,mean_of_11_replacement_queries,12,0.519440586419753,0.016921304729957082
all_U,tuna_retrained,replacement_query_rank_consensus,12,0.5495351080246913,0.013463030634968605
all_U,no_fitted_model,partner_training_seen,12,0.5894675925925926,0.012737910861163588
all_U,no_fitted_model,partner_positive_degree,12,0.6098032407407407,0.06529535129792673
all_U,no_fitted_model,partner_positive_degree_fraction,12,0.46697337962962965,0.010803563497676937
all_U,tuna_original,raw_logit,12,0.8036574074074075,0.18344518503989404
all_U,tuna_original,adjusted_logit,12,0.8042206790123457,0.18358856395766174
all_U,tuna_original,probability,12,0.8042206790123457,0.18358856395766174
