target,candidate_set,model,U,spearman_score_training_positive_degree
ERN1,context,tuna_original,200,-0.030842531184340598
ERN1,context,tuna_retrained,200,-0.14594839244063973
ERN1,background,tuna_original,200,-0.1835394188284413
ERN1,background,tuna_retrained,200,-0.35969087837815666
ERN1,low_plausibility,tuna_original,200,-0.0945628259521187
ERN1,low_plausibility,tuna_retrained,200,-0.1302241383249049
ERN1,context_background,tuna_original,400,-0.1045770039372763
ERN1,context_background,tuna_retrained,400,-0.22875740600253497
ERN1,all_U,tuna_original,600,-0.11389609342878984
ERN1,all_U,tuna_retrained,600,-0.20914649979100122
TP53,context,tuna_original,150,-0.19003409379416952
TP53,context,tuna_retrained,150,-0.15873127327979217
TP53,background,tuna_original,150,-0.14338714375391648
TP53,background,tuna_retrained,150,0.07119658991276319
TP53,low_plausibility,tuna_original,150,-0.21783797618995177
TP53,low_plausibility,tuna_retrained,150,0.14504265519672035
TP53,context_background,tuna_original,300,-0.14421260887187004
TP53,context_background,tuna_retrained,300,-0.0376949128610399
TP53,all_U,tuna_original,450,-0.08200251011526308
TP53,all_U,tuna_retrained,450,0.07331227006284162
EGFR,context,tuna_original,150,0.06005405396872089
EGFR,context,tuna_retrained,150,0.007449516815265911
EGFR,background,tuna_original,150,-0.11650563306629486
EGFR,background,tuna_retrained,150,-0.1317126688035094
EGFR,low_plausibility,tuna_original,150,-0.12728303307067448
EGFR,low_plausibility,tuna_retrained,150,-0.04495356365523889
EGFR,context_background,tuna_original,300,-0.052460426144121546
EGFR,context_background,tuna_retrained,300,-0.07720621890260601
EGFR,all_U,tuna_original,450,-0.0829078032521487
EGFR,all_U,tuna_retrained,450,-0.07071749121865939
BCL2,context,tuna_original,150,0.04810622986757322
BCL2,context,tuna_retrained,150,0.004255324636153379
BCL2,background,tuna_original,150,-0.1513855228157003
BCL2,background,tuna_retrained,150,-0.11637907394970881
BCL2,low_plausibility,tuna_original,150,0.00543510944630774
BCL2,low_plausibility,tuna_retrained,150,-0.02007141455477138
BCL2,context_background,tuna_original,300,-0.04224420691034806
BCL2,context_background,tuna_retrained,300,-0.055375839940073446
BCL2,all_U,tuna_original,450,-0.08400760914780193
BCL2,all_U,tuna_retrained,450,-0.07826029782250819
KEAP1,context,tuna_original,150,-0.08996128246815108
KEAP1,context,tuna_retrained,150,-0.19276064365984652
KEAP1,background,tuna_original,150,0.07440475725692595
KEAP1,background,tuna_retrained,150,0.07460580992566646
KEAP1,low_plausibility,tuna_original,150,-0.11319669607213784
KEAP1,low_plausibility,tuna_retrained,150,-0.06260645297555725
KEAP1,context_background,tuna_original,300,0.028391953036863773
KEAP1,context_background,tuna_retrained,300,-0.007035968183242136
KEAP1,all_U,tuna_original,450,0.019932081303084125
KEAP1,all_U,tuna_retrained,450,-0.017207447196168985
BRCA1,context,tuna_original,150,-0.17356347319967275
BRCA1,context,tuna_retrained,150,-0.017205008965159387
BRCA1,background,tuna_original,150,0.27379288605376656
BRCA1,background,tuna_retrained,150,0.17270301831714052
BRCA1,low_plausibility,tuna_original,150,0.2951382630072207
BRCA1,low_plausibility,tuna_retrained,150,0.23011872837901742
BRCA1,context_background,tuna_original,300,0.05867947819419016
BRCA1,context_background,tuna_retrained,300,0.08241327874225692
BRCA1,all_U,tuna_original,450,0.2474136183142654
BRCA1,all_U,tuna_retrained,450,0.22512638182432357
KRAS,context,tuna_original,150,-0.0572952556513828
KRAS,context,tuna_retrained,150,0.17652948949964825
KRAS,background,tuna_original,150,-0.1649905719092709
KRAS,background,tuna_retrained,150,0.42755212556678934
KRAS,low_plausibility,tuna_original,150,-0.3495718711726571
KRAS,low_plausibility,tuna_retrained,150,0.18731115505296944
KRAS,context_background,tuna_original,300,-0.12317454189595976
KRAS,context_background,tuna_retrained,300,0.3274130868298055
KRAS,all_U,tuna_original,450,-0.24945576242905715
KRAS,all_U,tuna_retrained,450,0.3479653403844697
CDK2,context,tuna_original,150,0.03874891145448233
CDK2,context,tuna_retrained,150,0.03959360607722897
CDK2,background,tuna_original,150,0.041888367207282416
CDK2,background,tuna_retrained,150,0.13840184775913547
CDK2,low_plausibility,tuna_original,150,-0.016763084881781305
CDK2,low_plausibility,tuna_retrained,150,0.011163353034059008
CDK2,context_background,tuna_original,300,0.05896992322663019
CDK2,context_background,tuna_retrained,300,0.09331476197651571
CDK2,all_U,tuna_original,450,0.05322923934310742
CDK2,all_U,tuna_retrained,450,0.07335172165779813
HIF1A,context,tuna_original,150,-0.17405018991581522
HIF1A,context,tuna_retrained,150,-0.12194764083712686
HIF1A,background,tuna_original,150,0.162335178153788
HIF1A,background,tuna_retrained,150,0.16098255041819737
HIF1A,low_plausibility,tuna_original,150,0.1408070928225465
HIF1A,low_plausibility,tuna_retrained,150,0.14074023549995437
HIF1A,context_background,tuna_original,300,0.022599285912924393
HIF1A,context_background,tuna_retrained,300,0.04439223217373827
HIF1A,all_U,tuna_original,450,0.07569134786525417
HIF1A,all_U,tuna_retrained,450,0.09750238234010117
CTNNB1,context,tuna_original,150,0.12897729385348897
CTNNB1,context,tuna_retrained,150,0.3146287436971615
CTNNB1,background,tuna_original,150,0.03294201247426974
CTNNB1,background,tuna_retrained,150,0.1916846471768641
CTNNB1,low_plausibility,tuna_original,150,-0.1865554889341313
CTNNB1,low_plausibility,tuna_retrained,150,0.1627974545253987
CTNNB1,context_background,tuna_original,300,0.07656404598083352
CTNNB1,context_background,tuna_retrained,300,0.2551744196357649
CTNNB1,all_U,tuna_original,450,0.00023551897383080735
CTNNB1,all_U,tuna_retrained,450,0.24477675217754077
TNFRSF1A,context,tuna_original,150,-0.21390416729829986
TNFRSF1A,context,tuna_retrained,150,-0.19423173312403885
TNFRSF1A,background,tuna_original,150,-0.14184110896193713
TNFRSF1A,background,tuna_retrained,150,-0.1901982915197384
TNFRSF1A,low_plausibility,tuna_original,150,-0.15945108913850983
TNFRSF1A,low_plausibility,tuna_retrained,150,-0.11176162521321263
TNFRSF1A,context_background,tuna_original,300,-0.18311509395572256
TNFRSF1A,context_background,tuna_retrained,300,-0.1954671438103549
TNFRSF1A,all_U,tuna_original,450,-0.2363627256925959
TNFRSF1A,all_U,tuna_retrained,450,-0.22610795498989383
BECN1,context,tuna_original,150,0.31450308290314105
BECN1,context,tuna_retrained,150,0.3735608330664571
BECN1,background,tuna_original,150,0.20554523311667358
BECN1,background,tuna_retrained,150,0.23120453338452324
BECN1,low_plausibility,tuna_original,150,-0.06367207755174022
BECN1,low_plausibility,tuna_retrained,150,0.24509339978522185
BECN1,context_background,tuna_original,300,0.2291721267863343
BECN1,context_background,tuna_retrained,300,0.2925659110990366
BECN1,all_U,tuna_original,450,0.17454921886678393
BECN1,all_U,tuna_retrained,450,0.28018027198346407
