target,positive_subset,candidate_set,P,U,evaluated,reason
ERN1,all_P,context,4,200,True,
ERN1,all_P,background,4,200,True,
ERN1,all_P,low_plausibility,4,200,True,
ERN1,all_P,context_background,4,400,True,
ERN1,all_P,all_U,4,600,True,
ERN1,exclude_development_P,context,4,200,True,
ERN1,exclude_development_P,background,4,200,True,
ERN1,exclude_development_P,low_plausibility,4,200,True,
ERN1,exclude_development_P,context_background,4,400,True,
ERN1,exclude_development_P,all_U,4,600,True,
ERN1,exclude_development_P_and_homomers,context,3,200,True,
ERN1,exclude_development_P_and_homomers,background,3,200,True,
ERN1,exclude_development_P_and_homomers,low_plausibility,3,200,True,
ERN1,exclude_development_P_and_homomers,context_background,3,400,True,
ERN1,exclude_development_P_and_homomers,all_U,3,600,True,
ERN1,exclude_prior_train_development_P,context,4,200,True,
ERN1,exclude_prior_train_development_P,background,4,200,True,
ERN1,exclude_prior_train_development_P,low_plausibility,4,200,True,
ERN1,exclude_prior_train_development_P,context_background,4,400,True,
ERN1,exclude_prior_train_development_P,all_U,4,600,True,
ERN1,exclude_prior_train_development_P_and_homomers,context,3,200,True,
ERN1,exclude_prior_train_development_P_and_homomers,background,3,200,True,
ERN1,exclude_prior_train_development_P_and_homomers,low_plausibility,3,200,True,
ERN1,exclude_prior_train_development_P_and_homomers,context_background,3,400,True,
ERN1,exclude_prior_train_development_P_and_homomers,all_U,3,600,True,
ERN1,exclude_any_model_prior_pairs,context,4,200,True,
ERN1,exclude_any_model_prior_pairs,background,4,199,True,
ERN1,exclude_any_model_prior_pairs,low_plausibility,4,200,True,
ERN1,exclude_any_model_prior_pairs,context_background,4,399,True,
ERN1,exclude_any_model_prior_pairs,all_U,4,599,True,
ERN1,exclude_any_model_prior_pairs_and_homomers,context,3,200,True,
ERN1,exclude_any_model_prior_pairs_and_homomers,background,3,199,True,
ERN1,exclude_any_model_prior_pairs_and_homomers,low_plausibility,3,200,True,
ERN1,exclude_any_model_prior_pairs_and_homomers,context_background,3,399,True,
ERN1,exclude_any_model_prior_pairs_and_homomers,all_U,3,599,True,
TP53,all_P,context,3,150,True,
TP53,all_P,background,3,150,True,
TP53,all_P,low_plausibility,3,150,True,
TP53,all_P,context_background,3,300,True,
TP53,all_P,all_U,3,450,True,
TP53,exclude_development_P,context,3,150,True,
TP53,exclude_development_P,background,3,150,True,
TP53,exclude_development_P,low_plausibility,3,150,True,
TP53,exclude_development_P,context_background,3,300,True,
TP53,exclude_development_P,all_U,3,450,True,
TP53,exclude_development_P_and_homomers,context,3,150,True,
TP53,exclude_development_P_and_homomers,background,3,150,True,
TP53,exclude_development_P_and_homomers,low_plausibility,3,150,True,
TP53,exclude_development_P_and_homomers,context_background,3,300,True,
TP53,exclude_development_P_and_homomers,all_U,3,450,True,
TP53,exclude_prior_train_development_P,context,3,150,True,
TP53,exclude_prior_train_development_P,background,3,150,True,
